,title,publishers,sheet_music,date,month,day,year,chart
1361,PRESSURE,(WB Music Corp. -- ASCAP/Globalist Industries LLP -- NS/Warner/Chappell Music Publishing Ltd. -- PRS),AMP,2019-02-02,02,02,2019,RO  17
1362,PROMISES,(Choir Directors Are Cool -- ASCAP/Precious Baby Publishing -- ASCAP/T-Bella Music -- ASCAP),,2019-02-02,02,02,2019,GS  18
1363,PROMISES,(EMI April Music  Inc. -- ASCAP/TSJ Merlyn Licensing B.V. -- NS/EMI Music Publishing Ltd. -- PRS/Sony/ATV Songs LLC -- BMI/Sony/ATV Music Publishing UK Ltd -- PRS/Stellar Songs Ltd -- NS/Naughty Words Limited -- PRS/BMG Gold Songs -- ASCAP),HL,2019-02-02,02,02,2019,DES  17
1364,PROMISE U THAT,(Nayvadius Maximus Music -- BMI/Irving Music  Inc. -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/Lakeith Legacy Publish-ing -- BMI/Songs Of Universal  Inc. -- BMI/FXXXXY Publishing Company -- BMI),AMP/HL,2019-02-02,02,02,2019,RBH  49
1365,PSALM 42,(Tori Kelly Publishing -- ASCAP/Sony/ATV Allegro -- ASCAP/Veterans Park Publishing -- BMI/Songs Of Kobalt Music Publishing America  Inc. -- BMI/Church Boy -- LLC -- BMI),HL,2019-02-02,02,02,2019,GS  24
1366,PURE COCAINE,(Four Entertainment Music -- ASCAP/Wolf Pack Global Music Publishingl -- ASCAP/Quality Control QC Pro -- ASCAP/Univer-sal Music Corp. -- ASCAP/Quay Global -- BMI/Mat-tazik Muzik -- BMI),HL,2019-02-02,02,02,2019,H100  89 ; RBH  44
1367,PURE WATER,(Mustard On The Beat Publishing -- BMI/Songs Of Roc Nation Music -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/Huncho YRN Music -- ASCAP/1479 QC Music -- ASCAP/Universal Music Corp. -- ASCAP/Silent Assassin YRN -- ASCAP/MKN QC Music -- ASCAP/Reservoir Media Music -- ASCAP/JPL QC Music -- ASCAP),,2019-02-02,02,02,2019,H100  81 ; RBH  41
1368,QUIERO REINTENTARLO,(ShowBusiness Plati-num Songs -- ASCAP),,2019-02-02,02,02,2019,LT  39
1369,RADICAMOS EN SOUTH CENTRAL,(LNGR Publishing -- BMI/Lumbre Music Publishing -- BMI),,2019-02-02,02,02,2019,LT  28
1370,RADIO GA GA (LIVE AID),(Beechwood Music Corporation -- BMI/EMI Blackwood Music Inc. -- BMI/Queen Music Ltd. -- PRS),HL,2019-02-02,02,02,2019,RO  40
1371,RAISE A HALLELUJAH (LIVE),(Bethel Music Publishing -- ASCAP),,2019-02-02,02,02,2019,CST  26
1372,REALLY SHOULDN’T DRINK AROUND,(Smack Hits -- GMR/Smack Songs LLC -- GMR/Spirit Cata-loge Holdings -- S.A.R.L./Songs Of Black River -- ASCAP/Rezsongs -- ASCAP/ReHits Music  Inc. -- ASCAP/Smacktown Music -- ASCAP/Smack Blue -- LLC -- ASCAP),,2019-02-02,02,02,2019,CS  46
1373,RECKLESS LOVE,(Bethel Music Publishing -- ASCAP/Watershed Publishing Group -- ASCAP/Richmond Park Publishing -- BMI/Bcoker Music -- BMI/Music At North Point -- BMI/Adam Kersh Music -- BMI/Paul Taylor Smith Publihsing -- BMI/Seems Like Music -- BMI/Centricity Songs -- BMI/Capitol CMG Paragon -- BMI),HL,2019-02-02,02,02,2019,CST   3
1374,RED LETTERS,(sixsteps Music -- ASCAP/worship-together.com songs -- ASCAP/Inot Music -- ASCAP/Capitol CMG Genesis -- ASCAP/Alletrop Music -- BMI),HL,2019-02-02,02,02,2019,CST  19
1375,REGGAETON,(Universal Music Corp. -- ASCAP/WB Music Corp. -- ASCAP/Sony/ATV Tunes LLC -- ASCAP),AMP/HL,2019-02-02,02,02,2019,LT  25
1376,REGGAETON EN LO OSCURO,(Sony/ATV Latin Music Publishing -- LLC -- BMI/Yele Publishing -- BMI/La Leyenda Publishing -- BMI/Kobalt Songs Music Publishing LLC -- ASCAP/No Stop Music Publishing -- ASCAP/Warner-Tamerlane Publish-ing Corp. -- BMI/Victor Viera Moore Publishing Designee -- BMI/Platinum Muse Music Publishing LLC -- BMI),AMP/HL,2019-02-02,02,02,2019,LT  21
1377,REMEMBER,(BMG Platinum Songs -- BMI/Sony/ATV Allegro -- ASCAP/Songs By Gryffin -- BMI/Scales Publishing -- BMI/Songs By PAW -- BMI),HL,2019-02-02,02,02,2019,DES  25
1378,REMEMBER,(See You At The Pub -- SESAC/Capitol CMG Amplifier -- SESAC/So Essential Tunes -- SESAC/Fellow Ships Music -- SESAC/Flychild Publishing -- SESAC/S.D.G. Publishing -- BMI/Capitol CMG Paragon -- BMI/Alletrop Music -- BMI),HL,2019-02-02,02,02,2019,CST  37
1379,RESCUE,(See You At The Pub -- SESAC/Capitol CMG Amplifier -- SESAC/CentricSongs -- SESAC/So Essential Tunes -- SESAC/Fellow Ships Music -- SESAC/Flychild Publishing -- SESAC),HL,2019-02-02,02,02,2019,CST  24
1380,RESURRECTING,(Elevation Worship Publishing -- BMI),,2019-02-02,02,02,2019,CST  20
1381,RIDE GOOD,(Futuristic Publishing -- BMI/BMG Platinum Songs -- BMI/Sony/ATV Ballad -- BMI/Travis Scott Music -- BMI/Sony/ATV Songs LLC -- BMI/Universal Music Corp. -- ASCAP/Cardo On The Beat -- ASCAP/Nasrock Music Publishing -- BMI/WB Music Corp. -- ASCAP/Hard Working Black Folks -- ASCAP/Top Dawg Music -- ASCAP/YeX Publishing -- BMI),AMP/HL,2019-02-02,02,02,2019,RBS  16
1382,RIGHT LEFT WRONG,(Purple Planes Publish-ing -- BMI/Wixen Music Publishing -- BMI/Riot Express Publishing -- BMI/Mean Music Publish-ing -- SOCAN/Hyvetown Music Inc. -- SOCAN/Babycats Music Inc. -- SOCAN/Inside Pocket -- SOCAN),,2019-02-02,02,02,2019,RO  50
1383,ROARING 20S,(Listen To This Shhh -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP/Big Deal Beats -- BMI/Sinclair Empire -- BMI/Slushie Fund -- ASCAP/SONGS MP Publishing -- BMI/Mighty Seven Music Publishing LLC -- BMI/Mighty Co Music -- BMI/My Two RR’s -- BMI/Big Deal Notes -- ASCAP/A Song Can Be About Anything Music -- ASCAP/Girls Raised By Wolves -- ASCAP/Vistaville Music -- ASCAP/Not That Steph Jones -- ASCAP/Big Deal Hits -- ASCAP/Ben Freed-lander Music -- ASCAP/Wincorn Music -- BMI/Maynard Ferguson Music Publishing -- ASCAP/CruzControlMusic -- ASCAP),AMP/HL,2019-02-02,02,02,2019,RO  45
1384,ROCKET SHIP,(Nayvadius Maximus Music -- BMI/Irving Music  Inc. -- BMI/Jacob Canady Publishing Designee -- BMI),,2019-02-02,02,02,2019,H100  79 ; RBH  39
1385,ROSES,(Please Don’t Forget To Pay Me Music -- GMR/Universal Music Works -- GMR/Infinite Stripes -- BMI/Back Hair Music Publishing -- BMI/Songs Of Universal  Inc. -- BMI/Polk St. Pub -- BMI/BMG Platinum Songs -- BMI/Listen To This Shhh -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP),HL,2019-02-02,02,02,2019,H100  97
1386,RUIN MY LIFE,(Songs Of Universal  Inc. -- BMI/Delacey Music -- BMI/Michael Pollack Publish-ing Designee -- ASCAP/Universal Music Corp. -- ASCAP/Bayjun Beat Music -- BMI/Jackson-FooteMusic -- ASCAP/Kobalt Music Copyrights -- SARL/1916 Publishing -- ASCAP/BBMG Music Publishing -- ASCAP/Kobalt Songs Music Publish-ing LLC -- ASCAP/BMG Platinum Songs -- BMI/R8D Music -- BMI/Songs Of BBMG Publishing -- BMI/Artcriminal Publishing -- ASCAP/Artist Publishing Group West -- ASCAP/WB Music Corp. -- ASCAP),AMP/HL,2019-02-02,02,02,2019,H100  77
1387,RUMOR,(Mike Curb Music -- BMI/Curb Songs -- ASCAP/Jacobsong -- ASCAP/Sadie’s Favorite Songs -- ASCAP/Combustion Engine Music -- ASCAP/WB Music Corp. -- ASCAP),AMP,2019-02-02,02,02,2019,CS  26
1388,SATURDAY NIGHTS,(Thegreatkhalid -- ASCAP/Right Hand Music Group -- ASCAP/All The Noise -- ASCAP/Sony/ATV Tunes LLC -- ASCAP/Ryan Vojtesak Publishing Designee -- BMI/Songs Of Universal  Inc. -- BMI/Jamil Chammas Publishing -- ASCAP/Cuts Of Reach Music -- ASCAP/BMG Gold Songs -- ASCAP/Universal Tunes -- SESAC/Songs For Owen Music -- SESAC/Kane Brown Music -- BMI),HL,2019-02-02,02,02,2019,H100  75 ; RBH  37 ; RBS   7
1389,SAY MY NAME,(AT Publishing -- ASCAP/EMI Music Publishing Denmark -- KODA/From The Beatz Publishing -- STEMRA/BMG Talpa Music BV -- BUMA/Havenwood House -- ASCAP/Hotel Cabana -- BMI/JackBack Publishing Ltd. -- SACEM/Write Here Music -- SACEM/Shapiro -- Bernstein & Co.  Inc. -- ASCAP/New Classic -- BUMA/Pre-scription Songs -- LLC. -- ASCAP/Sony/ATV Music Publishing UK Ltd -- PRS/Songs Of Universal  Inc. -- BMI/WB Music Corp. -- ASCAP/BMB Top Songs -- ASCAP/Universal Musica Unica Publishing -- BMI),AMP/HL,2019-02-02,02,02,2019,DES  18
1390,SCARS,(Wordspring Music -- LLC -- SESAC/EGH Music Publishing LLC -- BMI/I Am They Publish-ing -- BMI/Be Essential Songs -- BMI),AMP,2019-02-02,02,02,2019,CST  32
1391,SECRET,(Not Listed),,2019-02-02,02,02,2019,RBS  24
1392,SECRETO,(Gazmey Music Publishing -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP/Rude Boy Music -- ASCAP/Atlantis Records Inc. -- ASCAP),,2019-02-02,02,02,2019,H100  68 ; LT   5
1393,SELF CONTROL,(Sugar Song Publications Inc. -- BMI),,2019-02-02,02,02,2019,DES  48
1394,SHALLOW,(Sony/ATV Songs LLC -- BMI/SG Songs LLC -- BMI/Imagem -- C.V./Songs Of Zelig -- BMI/Stephaniesays Music -- ASCAP/Downtown DLJ Songs -- ASCAP/White Bull Music Group -- BMI/Downtown DMP Songs -- BMI/Warner-Barham Music LLC -- BMI/Songs Of Universal  Inc. -- BMI),HL,2019-02-02,02,02,2019,H100  24
1395,SHE GOT THE BEST OF ME,(Big Music Machine -- BMI/50 Egg Music -- BMI/Straight Dimes Publishing -- BMI/Little Extra Songs -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP/No Cats Round Here Music -- ASCAP/Heart Scarred Songs -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/Super LCS Publishing -- BMI),AMP,2019-02-02,02,02,2019,CS   9
1396,SHOT CLOCK,(Ella Mai Music Inc. -- BMI/Copyright Control/WB Music Corp. -- ASCAP/JA Publishing Group Inc. -- SOCAN/Black Fountain Music -- ASCAP/Blazalicious Music -- ASCAP/EMI April Music  Inc. -- ASCAP/Is Love And Above -- ASCAP),AMP/HL,2019-02-02,02,02,2019,RBH  50 ; RBS  10
1397,SHOTGUN,(BMG Platinum Songs -- BMI/BMG Monarch -- ASCAP/BMG Rights Management (UK) Ltd. -- PRS),,2019-02-02,02,02,2019,RO   8
1398,SICKO MODE,(Sony/ATV Ballad -- BMI/Travis Scott Music -- BMI/EMI Pop Music Publishing -- GMR/EarDrummers Entertainment LLC -- BMI/Khalif Brown Publishing Designee -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/John Hawkins Publishing Designee -- BMI/Ghetto Dreams Ent. -- BMI/U Can’t Teach Bein’ The Shhh  Inc. -- BMI/Songs Of Universal  Inc. -- BMI/These Are Songs Of Pulse -- ASCAP/BMG Platinum Songs -- BMI/Mr. Redan Music -- BMI/Mirsad Dervic Publish-ing Designee -- BMI/wellhellothere music -- BMI/Songs Of Kobalt Music Publishing America  Inc. -- BMI/Lakeith Legacy Publishing -- BMI/Papa George Music -- BMI/EMI April Music  Inc. -- ASCAP/Universal Music - Z Songs -- BMI/Hill Billy’z Musik Inc. -- BMI/Universal Music - Z Tunes LLC. -- ASCAP/Jazz Merchant Music -- ASCAP/Gifted Pearl Music -- ASCAP/111 Posse Music  Inc. -- ASCAP/C. Hollis Music -- BMI),AMP/HL,2019-02-02,02,02,2019,H100   5 ; RBH   2 ; RS   2
1399,SI ESTUVIESEMOS JUNTOS,(RSM Publishing -- ASCAP/Sony/ATV Discos Music Publishing LLC -- ASCAP/EMI Blackwood Music Inc. -- BMI),HL,2019-02-02,02,02,2019,LT  43
1400,SIXTEEN,(EMI Blackwood Music Inc. -- BMI/Cricket On The Line -- BMI/Sony/ATV Ballad -- BMI/Eastman Pond Publishing -- BMI/Big Deal Beats -- BMI/Brodsky Spensive Publishing -- BMI/Nice Life -- BMI),HL,2019-02-02,02,02,2019,CS   6 ; H100  49
1401,SLOW DANCING IN THE DARK,(88rising Publishing LLC -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP/Patrick Wimberly Pub-lishing -- SESAC/Kobalt Group Music Publishing -- SESAC),,2019-02-02,02,02,2019,RBS  18
1402,SO CLOSE,(Not Listed),,2019-02-02,02,02,2019,DES  15
1403,SOLA,(La Industria Music Publishing -- SESAC/WB Music Corp. -- ASCAP/Black Koi Entertainment LLC -- ASCAP/Sony/ATV Sounds LLC -- SESAC),AMP/HL,2019-02-02,02,02,2019,LT  33
1404,SOLO DE MI,(RSM Publishing -- ASCAP/EMI Blackwood Music Inc. -- BMI),HL,2019-02-02,02,02,2019,LT   9
1405,S.O.S. (SAWED OFF SHOTGUN),(BMG Gold Songs -- ASCAP/Black Box Songs -- SOCAN),,2019-02-02,02,02,2019,RO  13
1406,SO WILL I (100 BILLION X),(Hillsong Music Pub-lishing Australia -- APRA/Capitol CMG Paragon -- BMI),HL,2019-02-02,02,02,2019,CST  39
1407,SPEECHLESS,(Beats And Banjos -- ASCAP/WB Music Corp. -- ASCAP/Shay Mooney Music -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/Buck-eye26 -- ASCAP/Jreynmusic -- ASCAP/Big Music Machine -- BMI/Never Veltz So Good Publishing -- BMI),AMP,2019-02-02,02,02,2019,CS   2 ; H100  31
1408,SPIRIT LEAD ME,(Works By Influence Official -- BMI/Influence Music Official -- ASCAP/Ketterer Music Publishing -- ASCAP/Whitney Medina Music -- ASCAP/Krispy Music -- ASCAP/Barkloud Music -- BMI/Mel Noel Publishing -- BMI/Water-shed Music Publishing -- BMI/Rogue Music Alli-ance -- ASCAP),,2019-02-02,02,02,2019,CST  50
1409,SPLASHIN,(RichTheKid Publishing -- ASCAP/These Are Songs Of Pulse -- ASCAP/Adam King Feeny Publishing Designee -- SOCAN/Grant Dick-inson Publishing Designee -- SOCAN),,2019-02-02,02,02,2019,RBH  48
1410,STAND IN YOUR LOVE,(Bethel Music Publish-ing -- ASCAP/Gateway Music House -- ASCAP/Gateway Create Publishing -- BMI/Essential Music Publishing -- ASCAP/Be Essential Songs -- BMI/Coastal Lyric -- ASCAP/Kindred Joy Music -- BMI),,2019-02-02,02,02,2019,CST  10
1411,STARTENDER,(Artist Dubose Publishing Designee -- ASCAP/HBTL Publishing -- ASCAP/Brother Bagz Publishing -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/My Lord Prophet Music -- ASCAP/APG -- NS/WB Music Corp. -- ASCAP/Right Now Publishing -- BMI/YRN Piped Up Entertain-ment -- ASCAP/Reservoir Media Music -- ASCAP/EMI Blackwood Music Inc. -- BMI/Tygaman Music -- BMI),AMP/HL,2019-02-02,02,02,2019,H100  80 ; RBH  40
1412,STILL FEEL.,(Highfive Publishing -- ASCAP/Brett Kramer Songs -- BMI/Moogley Publishing -- BMI/James Krause Publishing Designee -- BMI/Emiko Bankson Publishing Designee -- BMI/Rachel Kramer Publishing Designee -- BMI),,2019-02-02,02,02,2019,RO  48
1413,THE STRENGTH TO LET GO,(Gangs Of Palomar Publishing -- ASCAP),,2019-02-02,02,02,2019,CST  49
1414,STRONGER THAN ME,(Terry And Tom Music -- ASCAP/Bedroll Music -- ASCAP/Major Bob Music  Inc. -- ASCAP),,2019-02-02,02,02,2019,CS  39
1415,SUNCITY,(Thegreatkhalid -- ASCAP/Right Hand Music Group -- ASCAP/All The Noise -- ASCAP/Sony/ATV Tunes LLC -- ASCAP/JLOL ASCAP -- ASCAP/Big Wave More Fire -- BMI/Ryan Vojtesak Publishing Designee -- BMI/Songs Of Universal  Inc. -- BMI/Jamil Chammas Publishing -- ASCAP/Cuts Of Reach Music -- ASCAP/BMG Gold Songs -- ASCAP/Beggars Music America -- BMI),HL,2019-02-02,02,02,2019,RBS  25
1416,SUNFLOWER (SPIDER-MAN: INTO THE SPIDER-VERSE),(Songs Of Universal  Inc. -- BMI/Sony/ATV Tunes LLC -- ASCAP/Warner-Tamerlane Publishing Corp. -- BMI/Posty Publishing -- BMI),AMP/HL,2019-02-02,02,02,2019,H100   3 ; RBH   1 ; RS   1
1417,SUPERPOSITION,(Ericc Publishing -- SESAC/Mi Fiammetta Inc. -- SESAC/Jacob Tilley -- SESAC/The Doostzaheh Group -- SESAC/The Jakes -- SESAC/Robot of the Century Tunes -- SESAC/Kobalt Group Music Publishing -- SESAC),,2019-02-02,02,02,2019,RO  11
1418,SURVIVOR,(Be Essential Songs -- BMI/Anthems Of Hope -- BMI/Wisteria Drive -- BMI/So Essential Tunes -- SESAC/Not Just Another Song Publish-ing -- SESAC/Capitol CMG Amplifier -- SESAC/Musical MoodSwing -- SESAC),HL,2019-02-02,02,02,2019,CST  17
1419,SWEET BUT PSYCHO,(LiveMadLove -- ASCAP/Artist Publishing Group West -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP/Cirkut Breaker LLC. -- ASACP/Prescription Songs -- LLC. -- ASCAP/Songs By Cook Classics -- BMI/Artist 101 Publishing Group -- BMI/Songs Of Kobalt Music Publishing America  Inc. -- BMI),,2019-02-02,02,02,2019,H100  35
1420,SWERVIN,(Artist Dubose Publishing Designee -- ASCAP/HBTL Publishing -- ASCAP/We Got London On Da Track -- BMI/Sony/ATV Songs LLC -- BMI/Eucalipto Music -- ASCAP/Kevin Andre Richardson Publishing Designee -- ASCAP/Sundae Morning LLC -- ASCAP/Daniel Hernandez Publishing Designee -- BMI),HL,2019-02-02,02,02,2019,H100  46 ; RBH  23 ; RS  20
1421,TAKE IT FROM ME,(Ole Red Cape Songs -- ASCAP/Jordan Davis Music -- ASCAP/ReHits Music  Inc. -- ASCAP/MeGusta Music -- ASCAP/Sony/ATV Tree Publishing -- BMI/Songs Of Red Bandana -- BMI),HL,2019-02-02,02,02,2019,CS  14 ; H100  78
1422,TAKI TAKI,(Universal Music Corp. -- ASCAP/Songs Of Kobalt Music Publishing America  Inc. -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/Sony/ATV Ballad -- BMI/DJ Snake Music -- LLC -- SACEM/Quietly Taking Over -- BMI/Kobalt Songs Music Publishing LLC -- ASCAP/Musica de Gaby Publish-ing -- BMI),AMP/HL,2019-02-02,02,02,2019,DES   2 ; H100  18 ; LT   1
1423,TALK TO ME,(Tory Lanez Publishing -- BMI/Back Hair Music Publishing -- BMI/Songs Of Universal  Inc. -- BMI/Rich Forever Music Publishing -- BMI/Smash David Publishing -- LLC -- BMI/Future His-tory Music Publishing -- BMI/Gabriel Tavarez Publishing Designee -- ASCAP/Warner-Tamerlane Publishing Corp. -- BMI/Hits Of The Future -- BMI),AMP/HL,2019-02-02,02,02,2019,H100  94 ; RBH  45 ; RBS   9
1424,TALK YOU OUT OF IT,(Relative Music Group -- BMI/Songs Of Kobalt Music Publishing America  Inc. -- BMI/Who Wants To Buy My Publishing -- ASCAP/WB Music Corp. -- ASCAP/Highly Com-bustible Music -- ASCAP/One77 Songs -- ASCAP/Castle Bound Music  Inc. -- SESAC),AMP,2019-02-02,02,02,2019,CS  30
1425,TE BOTE,(AH Ent Music Publishing -- ASCAP/La Industria Music Publishing -- SESAC/Hear Rimas Publishing -- ASCAP/Ozuna Worldwide -- BMI/La Verdadera Vuelta -- ASCAP/Nelflow Music -- ASCAP/White House Records -- ASCAP/YMV Music -- BMI/Universal Musica Unica Publishing -- BMI),HL,2019-02-02,02,02,2019,LT   6
1426,TE GUSTE,(Xavier Semper Publishing Designee -- ASCAP/Editora De Musica Los Mambo Kingz -- ASCAP/Edgar Semper Publishing Designee -- ASCAP/Luian Malave Nieves Publishing Desig-nee -- BMI/RSM Publishing -- ASCAP/Nuyorican Publishing -- BMI/Edgar Andino Publishing Designee -- BMI/Songs Of Kobalt Music Publish-ing America  Inc. -- BMI/Juan Frias Publishing Designee -- BMI/Hector Ramos Publishing Desig-nee -- BMI/Armando Lozano Publishing Designe -- BMI),,2019-02-02,02,02,2019,LT  47
1427,TELL THEM,(Sony/ATV Music Publishing UK Ltd -- PRS/Metro Boomin’ Want Some More -- LLC -- BMI/Songs Of Universal  Inc. -- BMI/Copyright Control),HL,2019-02-02,02,02,2019,DES  23
1428,TEMPTATION,(Nayvadius Maximus Music -- BMI/Irving Music  Inc. -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/Lakeith Legacy Publish-ing -- BMI/Songs Of Universal  Inc. -- BMI/FXXXXY Publishing Company -- BMI/WB Music Corp. -- ASCAP),AMP/HL,2019-02-02,02,02,2019,H100  76 ; RBH  38
1429,TEQUILA,(WB Music Corp. -- ASCAP/Beats And Banjos -- ASCAP/Buckeye26 -- ASCAP/Jreynmusic -- ASCAP/Warner-Tamerlane Publishing Corp. -- BMI/A Girl Named Charlie -- BMI),AMP,2019-02-02,02,02,2019,CS   1
1430,THANK U NEXT,(Universal Music Corp. -- ASCAP/GrandAriMusic -- ASCAP/Taylor Monet Music -- BMI/Victoria Monet McCants Music -- ASCAP/Songs Of Avex -- ASCAP/District 4-12 -- ASCAP),HL,2019-02-02,02,02,2019,H100   4
1431,THERE WAS THIS GIRL,(Riley Green Publishing Designee -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/Peermusic III -- Ltd. -- BMI/Tawnes Van Hawke Publishing -- BMI),,2019-02-02,02,02,2019,CS  24
1432,THESE ARE MY FRIENDS,(Green & Bloom Smashes -- ASCAP),,2019-02-02,02,02,2019,RO  47
1433,THIS FEELING,(Nice Hair Publishing -- ASCAP/Sony/ATV Allegro -- ASCAP/Sony/ATV Ballad -- BMI/Havenwood House -- ASCAP/Prescription Songs -- LLC. -- ASCAP/Kobalt Songs Music Pub-lishing LLC -- ASCAP),HL,2019-02-02,02,02,2019,DES   6 ; H100  56
1434,THIS GIRL,(See You At The Pub -- SESAC/Capitol CMG Amplifier -- SESAC/CentricSongs -- SESAC/Centricity Music Publishing -- ASCAP/Capitol CMG Genesis -- ASCAP/So Essential Tunes -- SESAC/Fellow Ships Music -- SESAC/Flychild Publishing -- SESAC),HL,2019-02-02,02,02,2019,CST  40
1435,THIS IS IT,(Dagum Music -- BMI/Austintatious Tunes -- BMI/Spirit Two Nashville -- ASCAP/Fluid Tunes -- ASCAP/Smackville Music -- ASCAP/Smack Songs LLC -- ASCAP/Ice House Tunes -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP),,2019-02-02,02,02,2019,CS   8 ; H100  53
1436,THOTIANA,(Not Listed),,2019-02-02,02,02,2019,H100  66 ; RBH  32
1437,TIE ME DOWN,(Forbestar Publishing -- ASCAP/BMG Gold Songs -- ASCAP/Arjouni Publishing -- ASCAP/Songs By Gryffin -- BMI/WB Music Corp. -- ASCAP/Karvinen Music -- ASCAP/BMG Platinum Songs -- BMI/Pulse Ventures -- BMI/Sony/ATV Allegro (Australia) Pty LTD -- APRA/BRRCOFFEE -- BMI/Jussi Karvinen Publishing Designee -- BMI),AMP/HL,2019-02-02,02,02,2019,DES  22
1438,TIMEBOMB,(Anna Sun Music -- ASCAP/Sony/ATV Tunes LLC -- ASCAP/Wolf Cousins -- STIM/Warner/Chappell Music Scandinavia AB -- STIM/Martin Shadowski Music Group -- BMI/MXM Music -- BMI/Songs Of Kobalt Music Publishing America  Inc. -- BMI),AMP/HL,2019-02-02,02,02,2019,RO  30
1439,TOGETHER,(Marshmellow Music -- BMI/Songs Of Kobalt Music Publishing America  Inc. -- BMI),,2019-02-02,02,02,2019,DES  47
1440,TOY,(Copyright Control),,2019-02-02,02,02,2019,DES  19
1441,A TRAVES DEL VASO,(Arpa Musical -- LLC -- BMI/Universal Music - Careers -- BMI/Plata Music Publishing -- BMI),HL,2019-02-02,02,02,2019,LT  11
1442,A TRAVES DEL VASO,(Arpa Musical -- LLC -- BMI/Universal Music - Careers -- BMI/Plata Music Publishing -- BMI),HL,2019-02-02,02,02,2019,LT  37
1443,TRIP,(Ella Mai Music Inc. -- BMI/Mustard On The Beat Publishing -- BMI/Songs Of Roc Nation Music -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/Varren Wade Publishing Designee -- BMI/Quincy Publishing Deisgnee -- BMI),AMP,2019-02-02,02,02,2019,H100  30 ; RBH  15 ; RBS   2
1444,TWERK,(Draft Day Pick -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/Take Fo Publishing -- BMI/Rico Love Is The Best Rapper Alive -- SESAC/W.B.M. Music Corp. -- SESAC/Washpoppin  Inc. -- ASCAP/Sony/ATV Allegro -- ASCAP),AMP/HL,2019-02-02,02,02,2019,H100  29 ; RBH  14 ; RS  13
1445,UCLA,(Turtle Ate My Homeworks -- BMI/KMR II GT Publishing Limited -- BMI/Songs Of Kobalt Music Publishing America  Inc. -- BMI/you:made publishing -- KODA/These Are Pulse Songs -- BMI/Rex Kudo Publishing Designee -- ASCAP/For You Smokes -- ASCAP/Brought To You By Heavy Duty -- ASCAP),,2019-02-02,02,02,2019,DES  42
1446,UNDECIDED,(Songs Of Universal  Inc. -- BMI/Culture Beyond Ur Experience Publishing -- BMI/Red Smoke Publishing B.V. -- ASCAP/CTM Pub-lishing BV -- BUMA/Imagem Music LLC -- BUMA/Straight From The Art Music -- BMI/Beaming Music Worldwide -- BMI/Songs Of Stone Buddah -- BMI/BMG Platinum Songs -- BMI/Troika Works Music -- BMI/Sony/ATV Tunes LLC -- ASCAP/WB Music Corp. -- ASCAP),AMP/HL,2019-02-02,02,02,2019,H100  55 ; RBH  25 ; RBS   4
1447,UNSTOPPABLE,(Yoga Flames Music -- BMI/Jan-ice Combs Publishing  Inc. -- BMI/EMI Blackwood Music Inc. -- BMI/Madar Enterainment -- LLC -- ASCAP/Robert D. Reese Publishing Designee -- BMI),HL,2019-02-02,02,02,2019,GS  17
1448,UPROAR,(Young Money Publishing Inc. -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/Monza Ronza -- SESAC/Universal Tunes -- SESAC/Avenue Beatz Music -- SESAC/Stone Agate Music -- ASCAP/Sony/ATV Songs LLC -- BMI),AMP/HL,2019-02-02,02,02,2019,H100  59 ; RBH  27 ; RS  23
1449,VICTORY,(23000 Music Publishing -- BMI/Songs Of Kobalt Music Publishing America  Inc. -- BMI),,2019-02-02,02,02,2019,GS   9
1450,VOICES,(Gangs Of Palomar Publishing -- ASCAP/Acornman Music -- GMR/Downtown Global Two -- GMR),,2019-02-02,02,02,2019,CST  47
1451,WAKE UP IN THE SKY,(Universal Music Corp. -- ASCAP/Radric Davis Publishing -- ASCAP/Mars Force Music -- GMR/BMG Onyx Songs -- GMR/Dwan Avery Publishing -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/Tre Pounds Publishing -- BMI/Annuity Songs -- BMI/Tarentino Publishing -- BMI/Dollaz-N-Dealz Entertainment -- BMI),AMP/HL,2019-02-02,02,02,2019,H100  15 ; RBH   8 ; RS   8
1452,WAR CRY,(Queen Naija Bulls Publishing Desig-nee -- ASCAP),,2019-02-02,02,02,2019,GS  10
