,title,publishers,sheet_music,date,month,day,year,chart
28,BUBALU,(Smiling Prince Music Inc. -- BMI/Songs Of Kobalt Music Publishing America  Inc. -- BMI/Rebbeca Marie Publishing -- ASCAP/Prescription Songs -- LLC. -- ASCAP/Kobalt Songs Music Pub-lishing LLC -- ASCAP/Copyright Control/Songs Of LVS Music Publishing -- BMI/Editora De Musica Los Mambo Kingz -- ASCAP/Hector Ramos Publishing Designee -- BMI/Kedin Maysonet Publishing Designee -- BMI/Francis Diaz Publish-ing Designee -- BMI/Henry Pulman Publishing Designee -- BMI/Elvin Pena Publishing Designee -- BMI),,2019-01-05,01,05,2019,LT  26
29,BURNING MAN,(Emileon Songs -- BMI/Little Louder Songs -- BMI/Songs Of Kobalt Music Publishing America  Inc. -- BMI/New Writers Of Sea Gayle Music -- BMI/Not A Track Guy Music -- BMI),,2019-01-05,01,05,2019,CS   9 ; H100  80
30,BURN OUT,(WB Music Corp. -- ASCAP/TipTop Music -- ASCAP/Tropical Cowboy Publishing -- ASCAP/Warner-Tamerlane Publishing Corp. -- BMI/Kitt Cass Publishing Corporation -- BMI/Smack Hits -- GMR/Smack Songs LLC -- GMR/Kobalt Music Group Ltd. -- GMR/Songs Of Black River -- ASCAP/One Little Indian Creek Music -- ASCAP),,2019-01-05,01,05,2019,CS  20
31,BUTTERFLIES,(Queen Naija Bulls Publishing Designee -- BMI/Jefferson Jean Publishing Desig-nee -- BMI/Master Suite -- BMI/G Staff Publishing -- ASCAP/Fresh2Def Publishing -- ASCAP),,2019-01-05,01,05,2019,RBS  21
32,BABY,(EMI Music Publishing Ltd. -- PRS/Warner/Chappell Music Publishing Ltd. -- PRS/BMG Platinum Songs -- BMI/Bad Robot -- BMI/DaFons Songs -- BMI/Sony/ATV Latin Music Publishing -- LLC -- BMI/Copyright Control/BMG Rights Man-agement (UK) Ltd. -- PRS),AMP/HL,2019-01-05,01,05,2019,DES  20
33,BACK DOWN,(Domino Publishing Co. -- Ltd -- SOCAN),,2019-01-05,01,05,2019,DES  29
34,BACKIN’ IT UP,(St. Lukes Publishing -- BMI/Section 8 LLC -- BMI/Sony/ATV Songs LLC -- BMI/Washpoppin  Inc. -- ASCAP/JLOUISMUSIC -- ASCAP/Joshua Scruggs Publishing Designee -- BMI/ESCC 2 Pub -- BMI/Shorty Bell Publishing -- ASCAP/Rashawnna Guy Music -- ASCAP/Univer-sal Music - Z Tunes LLC. -- ASCAP/T. Shaw -- BMI),HL,2019-01-05,01,05,2019,H100  69 ; RBH  25 ; RS  23
35,BACK TO LIFE,(W.B.M. Music Corp. -- SESAC/Bennett’s Dad’s Songs -- SESAC/Songs Of Rhythm House Black -- SESAC/Niko Moon Publishing -- SESAC/Roc Nation US Music -- SESAC/Shay Mooney Music -- BMI/Warner-Tamerlane Publish-ing Corp. -- BMI/Farm Thang Music -- BMI/Me Gusta Music -- BMI),AMP,2019-01-05,01,05,2019,CS  48
36,BAD!,(Bad Vibes Forever Publishing -- ASCAP/Cunningham And Cheese -- ASCAP/Soukiasyan Publishing -- BMI),,2019-01-05,01,05,2019,H100  68 ; RBH  24 ; RS  22
37,BAD LIAR,(Imagine Dragons Publishing -- BMI/Songs Of Universal  Inc. -- BMI/KIDinaKORNER2 Publishing -- BMI/Red Inside Publishing -- BMI/Jorgen Odegard Publishing Designee -- BMI/Warner-Tamerlane Publishing Corp. -- BMI),AMP/HL,2019-01-05,01,05,2019,RO  15
38,BALL W/O YOU,(Not Listed),,2019-01-05,01,05,2019,RBH  41
39,BEACH HOUSE,(Nice Hair Publishing -- ASCAP/Sony/ATV Allegro -- ASCAP/Sony/ATV Ballad -- BMI),HL,2019-01-05,01,05,2019,DES  27
40,BE ALRIGHT,(Specific Music -- APRA/Kobalt Music Services Australia Pty Ltd -- APRA/Sony/ATV Allegro (Australia) Pty LTD -- APRA),HL,2019-01-05,01,05,2019,H100  63
41,BEAUTIFUL,(Zipendat Music -- BMI/Songs Of Kobalt Music Publishing America  Inc. -- BMI/Artist 101 Publishing Group -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/MCWII Publishing -- ASCAP/The Otis Publishing -- SESAC),AMP,2019-01-05,01,05,2019,H100  50
42,BEAUTIFUL CRAZY,(Big Machine Music -- BMI/Egg Music -- BMI/Straight Dimes Publishing -- BMI/Works Of RHA Music -- BMI/Warner-Tamer-lane Publishing Corp. -- BMI/Rowdy Rob Music -- BMI),AMP,2019-01-05,01,05,2019,CS  10 ; H100  81
43,BEBE,(Tekashi69 Publishing  Inc. -- BMI/Create Music Group Publishing -- BMI/Gazmey Music Publishing -- ASCAP/ListenUp Forever Publishing -- BMI/Sony/ATV Ballad -- BMI),HL,2019-01-05,01,05,2019,LT   8
44,BEST NEWS EVER,(Tunes Of MercyMe -- SESAC/So Essential Tunes -- SESAC/No Sappy Music -- SESAC/Soul Glow Activator Music -- BMI/Fun Attic Music -- BMI/D Soul Music -- ASCAP/Universal Music - Brentwood Benson Publish-ing -- ASCAP/Capitol CMG Genesis -- ASCAP/9T One Songs -- ASCAP/Ariose Music -- ASCAP),HL,2019-01-05,01,05,2019,CST  14
45,BEST SHOT,(Red Lining Music -- SESAC/Ampli-fied Hour Songs -- SESAC/Castle Bound Music  Inc. -- SESAC/Rio Bravo Music  Inc. -- BMI/Blonde Leading Blind -- BMI),,2019-01-05,01,05,2019,CS   6 ; H100  61
